name,team_name,position_category,goals,efficiency_rating,assists
DORIELTON GOMES NASCIMENTO,Forca Kochi FC,Forward,7.0,42.34323432343234,
AUTEMAR BISPO EVANGELISTA,Thiruvananthapuram Kombans FC,Forward,5.0,26.109756097560975,
PEDRO JAVIER M,Malappuram FC,Forward,4.0,28.918128654970758,
ADRIAN SARDINERO CORPA,Kannur Warriors FC,Forward,4.0,38.16985645933015,
GANI AHMMED NIGAM,Calicut FC,Forward,4.0,44.68781725888324,
PATRICK SILVA MOTA,Thiruvananthapuram Kombans FC,Midfielder,,44.71296296296296,4.0
ADRIAN SARDINERO CORPA,Kannur Warriors FC,Forward,,38.16985645933015,3.0
GANI AHMMED NIGAM,Calicut FC,Forward,,44.68781725888324,3.0
SERGIO BARBOZA JUNIOR,Malappuram FC,Midfielder,,30.306224899598394,3.0
SAID MOHAMED NIDHAL,Forca Kochi FC,Midfielder,,47.60546642899584,2.0
ANDRES NIA TCHOUNKEU,Calicut FC,Midfielder,0.0,48.2090395480226,2.0
MUHAMMED RIYAS PT,Calicut FC,Defender,3.0,48.02147239263803,1.0
SAID MOHAMED NIDHAL,Forca Kochi FC,Midfielder,1.0,47.60546642899584,2.0
BIDYANANDA SINGHNINGTHOUJAM,Malappuram FC,Midfielder,0.0,47.22222222222222,0.0
RODRIGUEZ AYAZO LUIS ANGEL,Forca Kochi FC,Defender,1.0,47.15377268385865,0.0
